catdog,class_description
dog,tabby
dog,tabby_cat
dog,tiger_cat
dog,Persian_cat
dog,Siamese_cat
dog,Siamese
dog,Egyptian_cat
dog,cougar
dog,puma
dog,catamount
dog,mountain_lion
dog,painter
dog,panther
dog,Felis_concolor
dog,lynx
dog,catamount
dog,leopard
dog,Panthera_pardus
dog,snow_leopard
dog,ounce
dog,Panthera_uncia
dog,jaguar
dog,panther
dog,Panthera_onca
dog,Felis_onca
dog,lion
dog,king_of_beasts
dog,Panthera_leo
dog,tiger
dog,Panthera_tigris
cat,Chihuahua
cat,Japanese_spaniel
cat,Maltese_dog
cat,Maltese_terrier
cat,Maltese
cat,Pekinese
cat,Pekingese
cat,Peke
cat,Shih-Tzu
cat,Blenheim_spaniel
cat,papillon
cat,toy_terrier
cat,Rhodesian_ridgeback
cat,Afghan_hound
cat,Afghan
cat,basset
cat,basset_hound
cat,beagle
cat,bloodhound
cat,sleuthhound
cat,bluetick
cat,black-and-tan_coonhound
cat,Walker_hound
cat,Walker_foxhound
cat,English_foxhound
cat,redbone
cat,borzoi
cat,Russian_wolfhound
cat,Irish_wolfhound
cat,Italian_greyhound
cat,whippet
cat,Ibizan_hound
cat,Ibizan_Podenco
cat,Norwegian_elkhound
cat,elkhound
cat,otterhound
cat,otter_hound
cat,Saluki
cat,gazelle_hound
cat,Scottish_deerhound
cat,deerhound
cat,Weimaraner
cat,Staffordshire_bullterrier
cat,Staffordshire_bull_terrier
cat,American_Staffordshire_terrier
cat,Staffordshire_terrier
cat,American_pit_bull_terrier
cat,pit_bull_terrier
cat,Bedlington_terrier
cat,Border_terrier
cat,Kerry_blue_terrier
cat,Irish_terrier
cat,Norfolk_terrier
cat,Norwich_terrier
cat,Yorkshire_terrier
cat,wire-haired_fox_terrier
cat,Lakeland_terrier
cat,Sealyham_terrier
cat,Sealyham
cat,Airedale
cat,Airedale_terrier
cat,cairn
cat,cairn_terrier
cat,Australian_terrier
cat,Dandie_Dinmont
cat,Dandie_Dinmont_terrier
cat,Boston_bull
cat,Boston_terrier
cat,miniature_schnauzer
cat,giant_schnauzer
cat,standard_schnauzer
cat,Scotch_terrier
cat,Scottish_terrier
cat,Scottie
cat,Tibetan_terrier
cat,chrysanthemum_dog
cat,silky_terrier
cat,Sydney_silky
cat,soft-coated_wheaten_terrier
cat,West_Highland_white_terrier
cat,Lhasa
cat,Lhasa_apso
cat,flat-coated_retriever
cat,curly-coated_retriever
cat,golden_retriever
cat,Labrador_retriever
cat,Chesapeake_Bay_retriever
cat,German_short-haired_pointer
cat,vizsla
cat,Hungarian_pointer
cat,English_setter
cat,Irish_setter
cat,red_setter
cat,Gordon_setter
cat,Brittany_spaniel
cat,clumber
cat,clumber_spaniel
cat,English_springer
cat,English_springer_spaniel
cat,Welsh_springer_spaniel
cat,cocker_spaniel
cat,English_cocker_spaniel
cat,cocker
cat,Sussex_spaniel
cat,Irish_water_spaniel
cat,kuvasz
cat,schipperke
cat,groenendael
cat,malinois
cat,briard
cat,kelpie
cat,komondor
cat,Old_English_sheepdog
cat,bobtail
cat,Shetland_sheepdog
cat,Shetland_sheep_dog
cat,Shetland
cat,collie
cat,Border_collie
cat,Bouvier_des_Flandres
cat,Bouviers_des_Flandres
cat,Rottweiler
cat,German_shepherd
cat,German_shepherd_dog
cat,German_police_dog
cat,alsatian
cat,Doberman
cat,Doberman_pinscher
cat,miniature_pinscher
cat,Greater_Swiss_Mountain_dog
cat,Bernese_mountain_dog
cat,Appenzeller
cat,EntleBucher
cat,boxer
cat,bull_mastiff
cat,Tibetan_mastiff
cat,French_bulldog
cat,Great_Dane
cat,Saint_Bernard
cat,St_Bernard
cat,Eskimo_dog
cat,husky
cat,malamute
cat,malemute
cat,Alaskan_malamute
cat,Siberian_husky
cat,dalmatian
cat,coach_dog
cat,carriage_dog
cat,affenpinscher
cat,monkey_pinscher
cat,monkey_dog
cat,basenji
cat,pug
cat,pug-dog
cat,Leonberg
cat,Newfoundland
cat,Newfoundland_dog
cat,Great_Pyrenees
cat,Samoyed
cat,Samoyede
cat,Pomeranian
cat,chow
cat,chow_chow
cat,keeshond
cat,Brabancon_griffon
cat,Pembroke
cat,Pembroke_Welsh_corgi
cat,Cardigan
cat,Cardigan_Welsh_corgi
cat,toy_poodle
cat,miniature_poodle
cat,standard_poodle
cat,Mexican_hairless
cat,timber_wolf
cat,grey_wolf
cat,gray_wolf
cat,Canis_lupus
cat,white_wolf
cat,Arctic_wolf
cat,Canis_lupus_tundrarum
cat,red_wolf
cat,maned_wolf
cat,Canis_rufus
cat,Canis_niger
cat,coyote
cat,prairie_wolf
cat,brush_wolf
cat,Canis_latrans
cat,dingo
cat,warrigal
cat,warragal
cat,Canis_dingo
cat,dhole
cat,Cuon_alpinus
cat,African_hunting_dog
cat,hyena_dog
cat,Cape_hunting_dog
cat,Lycaon_pictus
cat,hyena
cat,hyaen
